,UUID,Substance
116,1a1949f8-fea6-4d44-a40b-a35eb71d4e81,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
117,2e92ac87-4809-4a8a-ad83-ad6611a7623b,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
118,364dbb32-984f-4d68-8e0d-c3340b957d46,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
119,3eca4d91-6ed7-4fbc-aa44-751d4e21ef4a,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
120,42c87f06-247b-4a05-9986-dfe6a1711646,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
121,51907e68-74eb-4921-ae01-e04fbb66e18f,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
122,711f02c9-49bb-4a86-bb12-b7e590c3ce96,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
123,75b88a36-7312-474e-ad65-5d96fddfc691,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
124,980e5ead-fa04-49fc-ba14-9eaf20eaf43d,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
125,e0ffcaef-5439-4df8-9781-f2fc560ba1b4,"(1R)-1-[(4R,4aR,8aS)-2,6-bis(3,4-dimethylphenyl)tetrahydro[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol"
126,dddde5ef-a521-44ce-9072-317738852680,(1R)-1-Naphthylethylamine Hydrochloride
127,91cfe238-cfcc-4757-9655-fd6b89121bd9,"(1R)-2-[5-(2-halo-3-methoxyphenyl)-3-[2-halo-6-(trihalomethyl)benzyl]- 4-alkyl-2,6-dioxoheterocyclyl]-1-phenylethanaminium salicylate"
128,c217dc3e-1374-4947-9c06-bcfd555620ac,(1R)-2-{[2-(4-aminophenyl)ethyl]amino}-1-phenylethanol hydrochloride
129,558b0478-38fb-45d1-b51f-8b827354deff,"(1R)-2-chloro-1-[(2R)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol"
130,a8cbe62e-6b5e-4d57-bf9d-636630c7b3ba,"(1R)-2-chloro-1-[(2S)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]ethanol"
131,e1a8d4ea-6d09-48c0-aeb3-1aafbb4d3956,"(1R)-6,6-dimethylbicyclo[3.1.1]hept-2-en-2-ethanol"
132,af761cb5-66fd-4d53-bfcd-9810afff65ab,(1R)cyclohex-3-enecarboxylic acid (1S)-1-phenylethylamine
133,2dfa8474-d012-4353-84db-bc4ff70636a0,"(1R*,6S*)-6-(ethoxycarbonyl)-N,N-dimethyl-6-phenylcyclohex-2-en-1-aminium monooxalate"
134,de51af1b-a70c-4aab-bfa1-5c73c3402a62,"(1R, 3r, 5S)-3-hydroxyspiro[8-azoniabicyclo[3.2.1]octane-8,1’-pyrrolidinium]chloride"
135,c18dad05-7a86-417a-adb8-30488b4bdef2,"(1R,11aS)-1-acetyl-11a-methyl-2,3,3a,3b,4,5,6,8,9,11-decahydrospiro[cyclopenta[a]phenanthrene-7,2'-[1,3]dioxolan]-1-yl acetate"
136,0696bfbb-e1e6-498d-a246-c18bf495d38b,"(1R,11aS)-1-hydroxy-11a-methyl-2,3,3a,5,6,8,9,11-octahydrospiro[cyclopenta[a]phenanthrene-7,2'-[1,3]dioxolane]-1-carbonitrile"
137,ed826696-23bc-4194-a3fd-7809a3af3b6b,"(1R,2R)-1,2-Cyclohexanedimethanol"
138,decb4850-5adc-4c59-8296-b32eb116e7cf,"(1R,2R)-1-Amino-2-(difluoromethyl)-N-(1-methylcyclopropylsulfonyl)cyclopropanecarboxamide hydrochloride"
139,5d7bab71-c89b-42b2-b749-54c5430bad2d,"(1'R,2R)-2-Methyl-4-(2',2',3'-tri-nal and methylcyclopent-3'-en-1'-yl)-4-pent-enal"
140,bcc545a1-6188-42c3-8179-c47dc056baa1,"(1'R,2R)-2-Methyl-4-(2',2',3'-tri-nal and methylcyclopent-3'-en-1'-yl)-4-pent-enal"
141,cdfb6b18-fd57-415f-bea1-f8060ce5e35b,"(1R,2R)-cyclohexane-1,2-diamine (2R,3R)-2,3-dihydroxybutanedioic acid"
142,d8901f16-7250-4e57-bb6d-3a5d5c924bb2,"(1R,2R,3S,4S)-1-(1,1,3,3-tetraoxido-1,3-dithian-2-yl)pentane-1,2,3,4-tetrol"
143,692a1074-c0d1-4d8f-aad5-691b64f438b6,"(1R,2R,3S,4S)-1-(1,3-dithian-2-yl)pentane-1,2,3,4-tetrol"
144,e52feac6-fa03-4f12-ba98-946f8288e60c,"(1R,2R,4S)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol"
145,366e1ec5-0f77-461c-a711-4d3e7991f5dc,"(1R,2S)-1-phenyl-2-pyrrolidin-1-yl-propan-1-ol;hydrochloride"
146,799af3f4-13c8-4975-b6ba-4da8b940265f,"(1R,2S)-2,6-dimethyl-2,3-dihydro-1H-inden-1-amine"
147,4706e330-2959-45ec-b706-fcec3b057d47,"(1R,2S)-2-ethenyl-1-(ethoxycarbonyl)cyclopropanaminium (2S)-2-[(4-chlorobenzoyl)oxy]propanoate"
148,9e7767b5-1cf5-4600-9c4f-2970a8ca43c8,"(1R,2S)-cyclohexane-1,2-diamine; sulfuric acid"
149,1616a6b8-9027-4a5c-b843-216ff946eb91,"(1R,2S,3S,4R)-3-((2-chloro-5-fluoropyrimidin-4-yl)amino)bicyclo[2.2.2]octane-2-carboxylic acid"
150,3334c6e7-862a-43ca-bba0-a72d2ec9d4ab,"(1R,2S,3S,4R)-3-((5-fluoro-2-(5-fluoro-1-tosyl-1H-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-4-yl)amino)bicyclo[2.2.2]octane-2-carboxylic"
151,279664c1-476c-456d-9c23-be78921b249b,"(1R,2S,5R)-2-isopropyl-N-(4-methoxyphenyl)-5-methylcyclohexanecarboxamide"
152,effdfd42-e44d-4363-8e62-ef491384addd,"(1R,2S,5R)-5-methyl-2-(propan-2-yl)-N-[2-(pyridin-2-yl)ethyl]cyclohexanecarboxamide"
153,82f85a82-36fe-4d32-a8b4-388ef23864b2,"(1R,2S,5S)-2-(methoxycarbonyl)-6,6-dimethyl-3-azoniabicyclo[3.1.0]hexane chloride"
154,e0139429-0c4e-4f2c-afbc-daa49430d46b,"(1R,2S,5S)-6,6-dimethyl-3-[3-methyl-N-(trifluoroacetyl)-L-valyl]-3-azabicyclo[3.1.0]hexane-2-carboxylic acid"
155,98fcafcb-4f69-48d6-9577-411b5ebb65db,"(1R,2S,6R,7S)-4-{[(1R,2R)-2-{[4-(1,2-benzothiazol-3- yl)piperazin-1-yl]methyl}-cyclohexyl]methyl}-4- azatricyclo[5.2.1.0^{2,6}]decane-3,5-dione"
156,eac3658e-1d06-4e79-8086-43c884d017ae,"(1R,2S,6R,7S)-4-azatricyclo[5.2.1.0^{2,6}]decane-3,5-dione"
157,f62da0ac-040e-430c-8200-e96c4ca737f4,"(1R,3R)-Methyl-1,2,3,4-tetrahydro-2-chloroacetyl-1-(3,4-methylenedioxyphenyl)-9H-pyrido[3,4-b]indole-3-carboxylate"
158,c2738171-c5e3-44dd-a984-bb6474a418d1,"(1R,3s,5S)-8-benzyl-3-(3-isopropyl-5-methyl-4H-1,2,4-triazol-4-yl)-8-azabicyclo[3.2.1]octane"
159,1bc07723-3af2-4b39-b08e-016ace5d47dc,"(1R,3S,5S)-8-benzyl-8-azabicyclo[3.2.1]octan-3-amine fumarate"
160,fc0074a1-3696-4ce5-abdc-bdd687d5e1c6,"(1R,3S,7R,8R,10R,13R)-5,5,7,9,9,13-hexamethyl-4,6-dioxatetracyclo[6.5.1.01,10.03,7]tetradecane"
161,1a33e744-7648-46bd-8b53-d209e612aa8a,"(1R,4aS,8R,8aS)-2,2,6,8-tetramethyl-1,2,3,4,4a,5,8,8a-octahydronaphthalen-1-ol"
162,6b4732ad-afb1-490b-a3b3-eb55d21a5ad1,"(1R,4R)-4-methoxy-2,2,7,7-tetramethyltricyclo(6.2.1.0(1,6))undec-5-ene"
163,33fdaecd-1891-4d57-8c4d-1a44cba797f8,"(1R,4R,5S)-6,6-dimethyl-4-(tribromomethyl)-3-oxabicyclo[3.1.0]hexan-2-one"
164,1069a9b6-3292-4332-a80d-53fba9e409c1,"(1R,4S)-2-azabicyclo[2.2.1]hept-5-en-3-one [1418U90]"
165,1c418e3b-d287-441e-a4b4-6debbef4f632,"(1R,4S)-2-azabicyclo[2.2.1]hept-5-en-3-one [1418U90]"
166,d388b673-1ae8-43d5-a98e-2858475f16d0,"(1R,4S)-6-tert-butoxy-4-(tert-butyldimethylsilyloxy)-6-oxo-1-(2-(thiophen-2-yl)acetamido)hexylboronic acid, (+)-pinanediol ester"
167,b70a5519-6eb7-45d2-9ba1-132d8a1d40ce,"(1R,4S,4aR,8aS)-9-(dichloromethylidene)octahydro-1,4-methanonaphthalene-5,8-dione"
168,2753c416-a062-4d01-a517-bfa2efec43b7,"(1R,5aR,10R,11aS)-1-acetyl-10-[4-(dimethylamino)phenyl]-5a-hydroxy-11a-methyl-3,3a,3b,4,5,6,8,9,10,11-decahydro-2H-spiro[cyclopenta[a]phenanthrene-7,2'-[1,3]dioxolan]-1-yl acetate"
169,a63124b6-e09d-4723-b9af-c9f1c1856ca0,"(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene"
170,9a41298f-e5b5-4189-99c4-1e3049e283cd,"(1R,6S)-2,2,6-trimethylcyclohexane-1-carboxylic acid"
